0.00, 0.000000, 0.000000, 0.000000
0.12, 0.101223, 0.000000, 0.000000
0.24, 0.172011, 0.000000, 0.025416
0.36, 0.153567, 0.008822, 0.050722
0.48, 0.145101, 0.017051, 0.072402
0.60, 0.140312, 0.024329, 0.093707
0.72, 0.132733, 0.031163, 0.114484
0.84, 0.123341, 0.037469, 0.134416
0.96, 0.112637, 0.043137, 0.153373
1.08, 0.100722, 0.048114, 0.171246
1.20, 0.087761, 0.052374, 0.187929
1.32, 0.073950, 0.055910, 0.203332
1.44, 0.059478, 0.058740, 0.217377
1.56, 0.044532, 0.060895, 0.229999
1.68, 0.029292, 0.062425, 0.241150
1.80, 0.013929, 0.063388, 0.250789
1.92, -0.001398, 0.063850, 0.258889
2.04, -0.016544, 0.063879, 0.265433
2.16, -0.031378, 0.063545, 0.270415
2.28, -0.045782, 0.062912, 0.273834
2.40, -0.059657, 0.062039, 0.275698
2.52, -0.072915, 0.060978, 0.276024
2.64, -0.085487, 0.059770, 0.274831
2.76, -0.097315, 0.058448, 0.272146
2.88, -0.108357, 0.057033, 0.268000
3.00, -0.118585, 0.055536, 0.262430
3.12, -0.127982, 0.053960, 0.255477
3.24, -0.136544, 0.052299, 0.247185
3.36, -0.144278, 0.050539, 0.237604
3.48, -0.151204, 0.048664, 0.226789
3.60, -0.157349, 0.046651, 0.214799
3.72, -0.162748, 0.044477, 0.201696
3.84, -0.167445, 0.042122, 0.187549
3.96, -0.171490, 0.039563, 0.172432
4.08, -0.174935, 0.036787, 0.156420
4.20, -0.177836, 0.033781, 0.139598
4.32, -0.180249, 0.030543, 0.122051
4.44, -0.182228, 0.027075, 0.103870
4.56, -0.183824, 0.023389, 0.085150
4.68, -0.185084, 0.019503, 0.065986
4.80, -0.186047, 0.015442, 0.046480
4.92, -0.186746, 0.011239, 0.026734
5.04, -0.187202, 0.006930, 0.006851
5.16, -0.187428, 0.002556, -0.013065
5.28, -0.187426, -0.001840, -0.032910
5.40, -0.187187, -0.006217, -0.052581
5.52, -0.186692, -0.010533, -0.071974
5.64, -0.185913, -0.014751, -0.090991
5.76, -0.184812, -0.018837, -0.109533
5.88, -0.183347, -0.022765, -0.127506
6.00, -0.181466, -0.026514, -0.144819
6.12, -0.179116, -0.030070, -0.161384
6.24, -0.176240, -0.033427, -0.177118
6.36, -0.172783, -0.036586, -0.191943
6.48, -0.168689, -0.039554, -0.205783
6.60, -0.163906, -0.042343, -0.218569
6.72, -0.158387, -0.044968, -0.230235
6.84, -0.152091, -0.047448, -0.240721
6.96, -0.144986, -0.049800, -0.249970
7.08, -0.137048, -0.052044, -0.257929
7.20, -0.128263, -0.054191, -0.264552
7.32, -0.118627, -0.056252, -0.269794
7.44, -0.108150, -0.058229, -0.273616
7.56, -0.096851, -0.060118, -0.275983
7.68, -0.084766, -0.061904, -0.276866
7.80, -0.071942, -0.063564, -0.276237
7.92, -0.058440, -0.065066, -0.274077
8.04, -0.044337, -0.066365, -0.270372
8.16, -0.029722, -0.067410, -0.265114
8.28, -0.014702, -0.068142, -0.258302
8.40, 0.000603, -0.068495, -0.249943
8.52, 0.016057, -0.068401, -0.240055
8.64, 0.031513, -0.067791, -0.228665
8.76, 0.046807, -0.066597, -0.215812
8.88, 0.061766, -0.064761, -0.201547
9.00, 0.076209, -0.062232, -0.185934
9.12, 0.089948, -0.058975, -0.169052
9.24, 0.102792, -0.054972, -0.150994
9.36, 0.114553, -0.050227, -0.131866
9.48, 0.125051, -0.044766, -0.111790
9.60, 0.134116, -0.038637, -0.090900
9.72, 0.141596, -0.031915, -0.069340
9.84, 0.147365, -0.024695, -0.047265
9.96, 0.151319, -0.017092, -0.024839
10.08, 0.153389, -0.009235, -0.002230
10.20, 0.153462, -0.001265, -0.013513
10.32, 0.152075, -0.005183, -0.041846
10.44, 0.148126, -0.014308, -0.065511
10.56, 0.142569, -0.021998, -0.086689
10.68, 0.135411, -0.028939, -0.107623
10.80, 0.126610, -0.035432, -0.127874
10.92, 0.116353, -0.041323, -0.147170
11.04, 0.104820, -0.046534, -0.165415
11.16, 0.092185, -0.051034, -0.182506
11.28, 0.078637, -0.054811, -0.198345
11.40, 0.064364, -0.057873, -0.212850
11.52, 0.049555, -0.060249, -0.225953
11.64, 0.034394, -0.061981, -0.237599
11.76, 0.019054, -0.063126, -0.247745
11.88, 0.003697, -0.063747, -0.256361
12.00, -0.011524, -0.063913, -0.263425
12.12, -0.026475, -0.063693, -0.268928
12.24, -0.041035, -0.063152, -0.272867
12.36, -0.055096, -0.062353, -0.275249
12.48, -0.068569, -0.061350, -0.276085
12.60, -0.081376, -0.060187, -0.275396
12.72, -0.093458, -0.058900, -0.273205
12.84, -0.104766, -0.057514, -0.269542
12.96, -0.115268, -0.056044, -0.264443
13.08, -0.124942, -0.054494, -0.257946
13.20, -0.133782, -0.052863, -0.250095
13.32, -0.141791, -0.051138, -0.240938
13.44, -0.148984, -0.049303, -0.230528
13.56, -0.155385, -0.047338, -0.218922
13.68, -0.161028, -0.045221, -0.206183
13.80, -0.165955, -0.042928, -0.192376
13.92, -0.170211, -0.040440, -0.177574
14.04, -0.173850, -0.037737, -0.161852
14.16, -0.176926, -0.034809, -0.145291
14.28, -0.179495, -0.031648, -0.127975
14.40, -0.181613, -0.028256, -0.109995
14.52, -0.183331, -0.024641, -0.091444
14.64, -0.184699, -0.020819, -0.072417
14.76, -0.185757, -0.016813, -0.053014
14.88, -0.186541, -0.012654, -0.033337
15.00, -0.187076, -0.008376, -0.013487
15.12, -0.187378, -0.004019, 0.006429
